created_at,source,original_text,lang,sentiment,favorite_count,retweet_count,polarity,subjectivity,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place
Fri Jun 18 17:55:49 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ðŸš¨Africa is ""in the midst of a full-blown third wave"" of coronavirus, the head of @WHOAFRO has warned

Cases have risen across the continent by more than 20% and deaths have also risen by 15% in the last week

@jriggers reports ~ ðŸ§µ
https://t.co/CRDhqPHFWM",en,"Sentiment(polarity=0.16666666666666666, subjectivity=0.18888888888888888)",548,612,0.166666667,0.188888889,ketuesriche,551,351,FALSE,[],"{'screen_name': 'WHOAFRO', 'name': 'WHO African Region', 'id': 544389588, 'id_str': '544389588', 'indices': [81, 89]}",Mass
Fri Jun 18 17:55:59 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa. https://t.co/sOgIroihOc",en,"Sentiment(polarity=0.13333333333333333, subjectivity=0.45555555555555555)",195,92,0.133333333,0.455555556,Grid1949,66,92,FALSE,[],,"Edinburgh, Scotland"
Fri Jun 18 17:56:07 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Thank you @research2note for creating this amazing campaign &amp; turning social media #red4research today. @NHSRDFORUM is all about sharing the talent, passion  &amp; commitment of individuals coming together as a community for the benefit of all. You've done this. Well done ðŸ‘‹",en,"Sentiment(polarity=0.3166666666666667, subjectivity=0.48333333333333334)",2,1,0.316666667,0.483333333,LeeTomlinson8,1195,1176,FALSE,['#red4research'],"{'screen_name': 'Research2note', 'name': 'Research2note', 'id': 734054113940508672, 'id_str': '734054113940508672', 'indices': [10, 24]}",
Fri Jun 18 17:56:10 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Former Pfizer VP and Virologist, Dr. Michael Yeadon, is one of the most credentialed medical professionals speaking out about the dangers of the #Covid19 vaccines, breaks down his â€œlist of liesâ€ that keeps him up at night. https://t.co/LSE8CrKdqn",en,"Sentiment(polarity=0.08611111111111111, subjectivity=0.19722222222222224)",1580,899,0.086111111,0.197222222,RIPNY08,2666,2704,FALSE,['#Covid19'],,
Fri Jun 18 17:56:20 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",I think itâ€™s important that we donâ€™t sell COVAX short. It still has a lot going for it and is innovative in its design. But it needs more vaccines to share.  Weâ€™re hoping our low cost @TexasChildrens recombinant protein COVID19 vaccine with @biological_e will help fill some gaps,en,"Sentiment(polarity=0.27999999999999997, subjectivity=0.6199999999999999)",72,20,0.28,0.62,pash22,28250,30819,FALSE,[],"{'screen_name': 'TexasChildrens', 'name': ""Texas Children's"", 'id': 15393700, 'id_str': '15393700', 'indices': [184, 199]}",United Kingdom
Fri Jun 18 17:56:25 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Iâ€™m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine near you:  
ðŸ” Search https://t.co/d2PDWIps8o  
ðŸ“±Text your ZIP code to 438829  
ðŸ“ž Call 1-800-232-0233 https://t.co/AMmcMmCtiP",en,"Sentiment(polarity=0.5083333333333333, subjectivity=0.7833333333333333)",683,220,0.508333333,0.783333333,SandhraLee,759,4163,FALSE,"['#WeCanDoThis', '#COVID19']",,USA
Fri Jun 18 17:56:44 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy responses to COVID.  I have condensed his 45 minutes on The Hirewire to 6 Twitter size edits, starting with an overview of interventions and vaccines. https://t.co/WcVq32s9WD",en,"Sentiment(polarity=3.700743415417188e-17, subjectivity=0.6333333333333334)",536,347,3.70074E-17,0.633333333,neilwalton48,221,599,FALSE,[],,
Fri Jun 18 17:56:46 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy responses to COVID.  I have condensed his 45 minutes on The Hirewire to 6 Twitter size edits, starting with an overview of interventions and vaccines. https://t.co/WcVq32s9WD",en,"Sentiment(polarity=3.700743415417188e-17, subjectivity=0.6333333333333334)",536,348,3.70074E-17,0.633333333,Candide62,154,1102,FALSE,[],,"Nord-Pas-de-Calais, France"
Fri Jun 18 17:56:46 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa.",en,"Sentiment(polarity=0.13333333333333333, subjectivity=0.45555555555555555)",197,93,0.133333333,0.455555556,AnneCar51323293,115,2030,FALSE,[],,
Fri Jun 18 17:56:47 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q",en,"Sentiment(polarity=0.37272727272727274, subjectivity=0.46742424242424246)",3,1,0.372727273,0.467424242,DarkaDuna2014,94,144,,"['#Covid19', '#DeltaVariant']",,"Bilbao, PaÃ­s Vasco"
Fri Jun 18 17:56:52 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Iâ€™m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine near you:  
ðŸ” Search https://t.co/d2PDWIps8o  
ðŸ“±Text your ZIP code to 438829  
ðŸ“ž Call 1-800-232-0233 https://t.co/AMmcMmCtiP",en,"Sentiment(polarity=0.5083333333333333, subjectivity=0.7833333333333333)",685,221,0.508333333,0.783333333,Jmilio54,15,43,FALSE,"['#WeCanDoThis', '#COVID19']",,
Fri Jun 18 17:56:54 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BioCubaFarma says phase 3 clinical trial results for #Cuban #COVID19 #vaccines are due out in a few days. Soberana02 (with and without booster) and Abdala were tested in 85K+ volunteers in Havana and eastern Cuba. @BioCubaFarma @FinlayInstituto @cda_dc @WOLA_org @aperezriverol https://t.co/GkrwLdJX1M,en,"Sentiment(polarity=-0.1625, subjectivity=0.2375)",52,28,-0.1625,0.2375,LilyWad75051099,474,361,FALSE,"['#Cuban', '#COVID19', '#vaccines']","{'screen_name': 'BioCubaFarma', 'name': 'BioCubaFarma', 'id': 983814956058578945, 'id_str': '983814956058578945', 'indices': [214, 227]}",
Fri Jun 18 17:56:58 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",THIS FIRST AID AGENT  NOTICED THAT MOST OF THE AGED PEOPLE HE TOOK CARE OF WERE VICTIMS OF STROKE AND LATER PASSEDâ€¦ https://t.co/iol4J5FQXo,en,"Sentiment(polarity=0.1625, subjectivity=0.30833333333333335)",0,0,0.1625,0.308333333,SammyEyong,14,80,,[],,
Fri Jun 18 17:57:06 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q",en,"Sentiment(polarity=0.37272727272727274, subjectivity=0.46742424242424246)",4,2,0.372727273,0.467424242,trekkerteach12,7778,5990,FALSE,"['#Covid19', '#DeltaVariant']",,
Fri Jun 18 17:57:12 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",I guess this is what ethnic cleansing and apartheid look likeâ€¦ðŸ¤¦ðŸ»â€â™‚ï¸ https://t.co/3eRJjOZF8W,en,"Sentiment(polarity=0.0, subjectivity=0.0)",22,6,0,0,emet_news_press,9765,7035,FALSE,[],,Global
Fri Jun 18 17:57:16 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","As of June 17th, T&amp;T has administered 201,313 doses of a WHO-approved #COVID19 vaccine. The country has approximately 56% of available stock remaining.

In Tobago, that number is lower at 15% (June 17th) with 3,000 Sinopharm doses arriving on Monday.

https://t.co/9NsIhQXxpU https://t.co/cVGwSlnmxl",en,"Sentiment(polarity=0.0, subjectivity=0.5)",0,0,0,0.5,edjimimi,371,605,FALSE,['#COVID19'],,"Austin, TX"
Fri Jun 18 17:57:18 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q",en,"Sentiment(polarity=0.37272727272727274, subjectivity=0.46742424242424246)",5,3,0.372727273,0.467424242,SheriD17536431,470,1240,FALSE,"['#Covid19', '#DeltaVariant']",,Nashville
Fri Jun 18 17:57:19 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Africa is in the midst of a full blown third wave. The sobering trajectory of surging cases should rouse everyone into urgent action. 

Weâ€™ve seen in India and elsewhere just how quickly #COVID19 can rebound and overwhelm health systems.",en,"Sentiment(polarity=0.1958333333333333, subjectivity=0.2875)",67,77,0.195833333,0.2875,DuncanSteele8,48,74,FALSE,['#COVID19'],,
Fri Jun 18 17:57:20 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@DrTedros ""Less than 2% of Africaâ€™s population has been vaccinated.

Vaccines donated next year will be far too late for those who are dying today, or being infected today, or at risk today""-@DrTedros #COVID19 #VaccinEquity",en,"Sentiment(polarity=-0.09166666666666666, subjectivity=0.41666666666666663)",55,32,-0.091666667,0.416666667,ChrisRamsden4,678,570,,"['#COVID19', '#VaccinEquity']","{'screen_name': 'DrTedros', 'name': 'Tedros Adhanom Ghebreyesus', 'id': 189868631, 'id_str': '189868631', 'indices': [0, 9]}",Kent
Fri Jun 18 17:57:22 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","So glad to join training day for the DC #COVID19 Community Corps

They will be going door to door and attending events to encourage residents to #TakeTheShotDC 

Together, weâ€™ll crush the virus! https://t.co/Q3MPcnZFJL https://t.co/NibVFurhtd",en,"Sentiment(polarity=0.625, subjectivity=1.0)",6,3,0.625,1,stevenlwalker,5769,1848,FALSE,"['#COVID19', '#TakeTheShotDC']",,Bending stuff towards justice
Fri Jun 18 17:57:24 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa.",en,"Sentiment(polarity=0.13333333333333333, subjectivity=0.45555555555555555)",203,95,0.133333333,0.455555556,yuccaldo,1309,2618,FALSE,[],,"#mRNA/@pfizer 1.shot, 23.04"
Fri Jun 18 17:57:30 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[MB] â˜€ï¸ WINNIPEG â˜€ï¸ 
Available mRNA vaccines!
ðŸ“ Scurfield Pharmacy (100 201 Scurfield Blvd)
ðŸ“ž 204-306-4459
ðŸ’» https://t.co/cDMOKVMUTW
Call to confirm availability/book appointment! 
#protectmb
https://t.co/7OYAVc9tK1 #VHCDose2 #COVID19MB #vhcMB",en,"Sentiment(polarity=0.625, subjectivity=0.4)",5,2,0.625,0.4,LeahMochula,84,592,FALSE,"['#protectmb', '#VHCDose2', '#COVID19MB', '#vhcMB']",,
Fri Jun 18 17:57:31 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@robinmonotti2 @RiseOfTheProles BTWðŸ¤”ðŸ¤”Covid19 deaths are super inflated by a rigged PCR test! Using a survival rate of the Covid19 virus of 99.97% the death by vaccines comparison is infinitely higher -try ~1 million times more likely to die by the Covid19 shot than the â€œactualâ€ virus!! ðŸ˜³ðŸ˜³ðŸ˜³ðŸ˜³ðŸ˜³ðŸ˜³ðŸ˜³ðŸ˜³ðŸ˜³ðŸ˜³ðŸ˜³ https://t.co/oocr6CtzQZ,en,"Sentiment(polarity=0.2333333333333333, subjectivity=0.5533333333333333)",3,3,0.233333333,0.553333333,siborg76,558,1684,FALSE,[],"{'screen_name': 'robinmonotti2', 'name': 'Robin Monotti ðŸŒ¸', 'id': 20106357, 'id_str': '20106357', 'indices': [0, 14]}","England, United Kingdom"
Fri Jun 18 17:57:31 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa. https://t.co/sOgIroihOc",en,"Sentiment(polarity=0.13333333333333333, subjectivity=0.45555555555555555)",203,96,0.133333333,0.455555556,DrRobinFawcett,85,110,FALSE,[],,London
Fri Jun 18 17:57:40 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","That's great. But there are now *zero* appointments available within a 6 hour driving radius of Winnipeg for anyone who can only get Pfizer for shot 2. 

Save Pfizer for our kids. They don't have a choice between vaccines.

@KindrachukJason @SouradetS #mbpoli",en,"Sentiment(polarity=0.4000000000000001, subjectivity=0.7166666666666667)",29,5,0.4,0.716666667,signpostpoetry,850,1827,FALSE,['#mbpoli'],"{'screen_name': 'KindrachukJason', 'name': 'Jason Kindrachuk, PhD', 'id': 1071978579934765061, 'id_str': '1071978579934765061', 'indices': [224, 240]}",Treaty One
Fri Jun 18 17:57:40 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","A free 6/23 webinar will review the state of #COVID19 in Brazil, India, and South Africa and explore what lessons wâ€¦ https://t.co/a1SfPNXsJ6",en,"Sentiment(polarity=0.4, subjectivity=0.8)",0,0,0.4,0.8,sharon_inouye,6100,1556,FALSE,['#COVID19'],,United States
Fri Jun 18 17:57:42 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",BioCubaFarma says phase 3 clinical trial results for #Cuban #COVID19 #vaccines are due out in a few days. Soberana02 (with and without booster) and Abdala were tested in 85K+ volunteers in Havana and eastern Cuba. @BioCubaFarma @FinlayInstituto @cda_dc @WOLA_org @aperezriverol https://t.co/GkrwLdJX1M,en,"Sentiment(polarity=-0.1625, subjectivity=0.2375)",54,29,-0.1625,0.2375,laureiropedro1,45,258,,"['#Cuban', '#COVID19', '#vaccines']","{'screen_name': 'BioCubaFarma', 'name': 'BioCubaFarma', 'id': 983814956058578945, 'id_str': '983814956058578945', 'indices': [214, 227]}",
Fri Jun 18 17:57:43 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Africa is in the midst of a full blown third wave. The sobering trajectory of surging cases should rouse everyone into urgent action. 

Weâ€™ve seen in India and elsewhere just how quickly #COVID19 can rebound and overwhelm health systems.",en,"Sentiment(polarity=0.1958333333333333, subjectivity=0.2875)",68,78,0.195833333,0.2875,yuccaldo,1309,2618,FALSE,['#COVID19'],,"#mRNA/@pfizer 1.shot, 23.04"
Fri Jun 18 17:57:48 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ðŸš¨Africa is ""in the midst of a full-blown third wave"" of coronavirus, the head of @WHOAFRO has warned

Cases have risen across the continent by more than 20% and deaths have also risen by 15% in the last week

@jriggers reports ~ ðŸ§µ
https://t.co/CRDhqPHFWM",en,"Sentiment(polarity=0.16666666666666666, subjectivity=0.18888888888888888)",548,614,0.166666667,0.188888889,Sportsmk,755,646,FALSE,[],"{'screen_name': 'WHOAFRO', 'name': 'WHO African Region', 'id': 544389588, 'id_str': '544389588', 'indices': [81, 89]}",texas
Fri Jun 18 17:57:48 +0000 2021,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q",en,"Sentiment(polarity=0.37272727272727274, subjectivity=0.46742424242424246)",6,4,0.372727273,0.467424242,RGC_BPPA,2689,5003,FALSE,"['#Covid19', '#DeltaVariant']",,"Lafayette, Louisiana"
